#
# In-degree Distribution. G(16307, 61319). 1510 (0.0926) nodes with in-deg > avg deg (7.5), 603 (0.0370) with >2*avg.deg (Sun Apr 27 20:56:18 2014)
#
# In-degree	Count
1	8298
2	2873
3	1477
4	872
5	576
6	383
7	318
8	239
9	160
10	140
11	95
12	92
13	68
14	64
15	49
16	44
17	52
18	30
19	27
20	32
21	15
22	24
23	21
24	14
25	20
26	19
27	18
28	18
29	17
30	9
31	5
32	7
33	11
34	12
35	9
36	9
37	7
38	6
39	5
40	8
41	5
42	4
43	3
44	2
45	2
46	3
47	6
48	3
49	4
50	6
51	4
52	4
53	3
54	5
55	4
56	3
57	2
58	6
59	2
60	1
61	3
62	2
63	3
64	5
65	1
66	2
67	2
69	1
71	1
72	2
73	2
74	4
76	3
78	1
80	5
81	1
82	3
83	2
84	1
85	1
86	1
87	1
89	5
90	3
91	4
93	1
94	2
95	1
96	2
97	1
98	3
102	1
105	2
106	1
108	1
110	2
113	1
115	1
117	1
118	1
121	1
127	2
128	1
129	1
132	1
136	1
137	1
145	1
186	1
189	1
228	1
